degree	CL	CD
-10	-0.9000	0.00450
-9	-0.7700	0.00900
-8	-0.6400	0.00900
-7	-0.5100	0.00900
-6	-0.3800	0.00900
-5	-0.2500	0.00900
-4	-0.1200	0.00900
-3	0.01000	0.00900
-2	0.14000	0.00900
-1	0.27000	0.00900
0	0.40000	0.00900
1	0.53000	0.00900
2	0.66000	0.00900
3	0.79000	0.00900
4	0.92000	0.00900
5	1.0500	0.00900
6	1.1800	0.00900
7	1.3100	0.00900
8	1.4400	0.00900
9	1.5700	0.00900
10	1.7000	0.00900
11	1.3645	0.02800
12	1.3340	0.04700
13	1.3035	0.06600
14	1.2730	0.08500
15	1.2425	0.10400
16	1.2120	0.12300
17	1.1815	0.14200
18	1.1510	0.16100
19	1.1205	0.18000
20	1.0900	0.19900
